,epoch,PE_15850,vix_close,CE_15900,PE_15800,CE_15950,PE_15750,CE_16000,PE_15700,CE_16050,PE_15650,CE_16100,PE_15600,CE_16150,PE_15550,CE_16200,PE_15500,CE_16250,PE_15450,CE_16300,PE_15400,CE_16350,PE_15350,CE_16400,PE_15300,CE_16450,nifty_open,nifty_high,nifty_low,nifty_close,nifty_volume
41,1656303960,119.95,20.92,132.75,100.0,108.2,82.6,86.75,68.2,67.9,56.3,52.25,46.75,39.6,38.15,29.5,31.75,21.55,26.0,15.75,21.55,11.25,17.85,8.3,14.9,6.15,15894.0,15894.15,15880.5,15885.75,0
42,1656304020,119.95,20.92,132.4,99.85,108.15,82.55,87.0,68.15,68.0,56.35,52.25,46.65,39.5,38.35,29.35,31.7,21.3,26.15,15.55,21.65,11.3,17.8,8.25,14.85,6.15,15885.95,15890.55,15884.4,15885.25,0
43,1656304080,122.4,20.93,128.85,101.95,104.6,84.45,83.7,69.55,65.2,57.45,50.05,47.65,37.75,39.25,28.1,32.3,20.5,26.7,14.95,22.1,10.85,18.15,7.95,15.15,5.95,15885.2,15885.4,15879.5,15879.95,0
44,1656304140,123.85,20.93,128.55,102.85,104.4,85.4,83.5,70.35,65.0,58.5,50.15,48.5,37.5,39.95,27.95,33.05,20.25,27.3,14.65,22.7,10.6,18.65,7.75,15.6,5.75,15879.7,15879.7,15871.9,15875.45,0
45,1656304200,122.05,20.98,130.9,101.7,106.4,84.65,85.05,69.65,66.65,57.65,51.25,47.85,38.7,39.4,28.9,32.65,21.05,26.9,15.25,22.25,11.0,18.4,8.05,15.4,5.95,15876.25,15882.3,15875.5,15880.8,0
46,1656304260,118.15,20.91,135.0,98.0,110.25,81.05,88.65,66.85,69.55,55.2,53.5,45.85,40.55,37.6,30.35,31.25,21.95,25.6,16.15,21.3,11.6,17.65,8.4,14.75,6.2,15880.9,15889.7,15880.35,15887.6,0
47,1656304320,118.15,20.95,134.5,98.55,109.55,81.2,88.25,67.0,69.0,55.3,53.2,45.9,40.2,37.55,30.0,31.25,22.0,25.6,16.0,21.35,11.4,17.75,8.3,14.85,6.15,15887.7,15893.1,15886.05,15886.05,0
48,1656304380,114.0,20.93,138.0,94.75,112.7,77.55,90.95,64.4,71.1,52.75,55.0,44.25,41.5,36.7,31.0,29.9,22.55,25.1,16.35,20.8,11.65,17.35,8.45,14.45,6.2,15886.75,15894.95,15882.4,15894.5,0
49,1656304440,117.0,20.91,135.75,97.5,110.95,80.25,89.25,66.3,70.0,54.3,53.75,45.35,40.6,37.0,30.2,30.55,22.05,25.1,16.0,20.85,11.55,17.2,8.4,14.35,6.2,15895.75,15897.5,15890.85,15890.9,0
50,1656304500,118.35,20.92,134.6,98.5,109.4,81.4,88.05,66.95,69.15,55.25,53.25,45.5,40.25,37.6,29.95,30.9,21.9,25.6,15.85,21.15,11.45,17.5,8.4,14.5,6.15,15890.95,15893.65,15887.9,15889.25,0
51,1656304560,116.85,20.94,136.45,97.05,111.2,80.15,89.9,66.1,70.5,54.4,54.45,45.1,40.9,37.5,30.65,30.6,22.25,25.35,16.25,20.9,11.55,17.35,8.4,14.55,6.2,15889.05,15892.8,15889.05,15889.55,0
52,1656304620,115.75,20.93,136.8,96.15,111.95,79.6,90.0,65.35,70.5,54.0,54.7,44.75,41.4,36.85,30.9,30.5,22.65,25.2,16.3,20.75,11.7,17.2,8.45,14.35,6.2,15890.45,15895.1,15890.45,15893.3,0
53,1656304680,118.05,20.93,133.65,98.2,109.2,80.85,87.7,66.9,68.55,55.15,52.95,45.6,39.9,37.25,29.7,30.95,21.65,25.4,15.75,21.05,11.25,17.35,8.2,14.5,6.05,15893.6,15894.8,15886.8,15888.7,0
54,1656304740,119.3,20.91,132.75,99.25,108.2,82.3,86.9,67.65,68.1,55.95,52.15,46.5,39.5,38.25,29.25,31.7,21.3,26.0,15.45,21.55,11.1,17.65,8.15,14.8,6.0,15887.95,15888.3,15881.4,15883.45,0
55,1656304800,121.2,20.91,131.5,100.8,107.1,83.5,86.0,68.85,67.15,56.6,51.95,47.05,39.2,38.75,29.2,32.2,21.3,26.4,15.4,21.8,11.1,18.0,8.05,14.95,5.9,15883.55,15886.8,15875.9,15879.1,0
56,1656304860,120.5,20.87,130.55,100.35,106.45,83.0,85.15,68.3,66.55,56.35,51.0,46.7,38.35,38.5,28.55,31.75,20.6,26.1,14.85,21.55,10.75,17.75,7.75,14.9,5.65,15878.95,15879.45,15875.5,15878.95,0
57,1656304920,120.7,20.87,130.9,100.45,106.55,82.95,85.55,68.3,66.9,56.25,51.45,46.7,38.8,38.05,28.85,31.75,20.95,26.05,15.15,21.5,10.9,17.65,7.9,14.7,5.75,15879.2,15880.05,15875.55,15878.95,0
58,1656304980,122.4,20.87,129.2,101.95,104.85,84.0,84.05,69.4,65.55,57.15,50.2,47.4,38.0,39.0,28.2,32.25,20.35,26.4,14.75,21.85,10.55,18.1,7.7,14.8,5.65,15879.35,15880.15,15874.1,15875.4,0
59,1656305040,126.1,20.89,125.0,105.0,101.7,87.05,80.7,71.85,63.15,59.45,48.2,49.05,36.15,40.45,26.8,33.45,19.35,27.4,14.0,22.55,10.05,18.5,7.3,15.25,5.4,15875.85,15875.9,15868.4,15868.4,0
60,1656305100,125.65,20.91,126.45,105.0,102.5,86.85,82.1,71.7,64.15,59.35,49.15,49.15,36.85,40.4,27.45,33.35,19.75,27.25,14.4,22.55,10.3,18.35,7.5,15.2,5.5,15867.95,15874.55,15867.25,15870.3,0
61,1656305160,123.05,20.91,128.45,102.4,104.55,85.1,83.45,70.4,65.4,57.95,50.0,48.0,37.35,39.4,27.9,32.5,20.05,26.65,14.4,22.05,10.3,18.05,7.45,15.0,5.45,15870.15,15872.2,15861.6,15872.15,0
62,1656305220,125.3,20.92,127.1,104.3,103.45,86.7,82.65,71.4,64.35,59.0,49.35,48.8,37.05,40.2,27.55,33.05,19.8,26.95,14.35,22.2,10.2,18.35,7.35,15.15,5.4,15872.35,15872.35,15868.75,15869.8,0
