,epoch,PE_16100,vix_close,CE_16150,PE_16050,CE_16200,PE_16000,CE_16250,PE_15950,CE_16300,PE_15900,CE_16350,PE_15850,CE_16400,PE_15800,CE_16450,PE_15750,CE_16500,PE_15700,CE_16550,PE_15650,CE_16600,PE_15600,CE_16650,PE_15550,CE_16700,nifty_open,nifty_high,nifty_low,nifty_close,nifty_volume
58,1657687380,65.2,18.12,70.95,46.0,49.3,32.2,33.0,22.0,20.9,14.75,12.6,9.7,7.35,6.55,4.2,4.45,2.5,3.2,1.55,2.55,1.2,1.95,1.0,1.55,0.95,16132.2,16132.9,16129.95,16130.35,0
59,1657687440,65.6,18.12,70.45,46.25,49.05,32.45,33.0,22.1,20.95,14.85,12.6,9.8,7.45,6.6,4.2,4.45,2.55,3.25,1.55,2.5,1.15,1.95,0.95,1.55,0.95,16130.35,16130.9,16129.1,16129.25,0
60,1657687500,65.1,18.11,70.45,46.0,48.85,32.0,32.7,21.95,20.8,14.7,12.55,9.75,7.35,6.6,4.2,4.45,2.5,3.3,1.6,2.6,1.2,2.05,1.0,1.6,0.95,16129.0,16131.55,16129.0,16130.7,0
61,1657687560,66.6,18.14,68.5,47.2,47.35,32.9,31.75,22.55,19.95,15.05,12.0,10.0,7.1,6.75,4.05,4.5,2.45,3.3,1.5,2.6,1.15,2.05,0.95,1.55,0.95,16129.6,16130.05,16123.3,16123.3,0
62,1657687620,68.15,18.12,66.25,48.25,45.55,33.7,30.5,23.05,19.1,15.35,11.4,10.15,6.7,6.85,3.9,4.6,2.3,3.4,1.45,2.55,1.15,2.0,0.95,1.6,0.9,16123.45,16123.9,16119.55,16119.9,0
63,1657687680,69.5,18.12,65.35,49.3,45.05,34.35,30.0,23.6,18.9,15.75,11.35,10.35,6.7,6.9,3.9,4.65,2.35,3.4,1.45,2.6,1.1,2.05,0.95,1.6,0.9,16120.0,16120.0,16117.2,16118.3,0
64,1657687740,74.85,18.11,60.4,53.5,41.4,37.6,27.5,25.8,17.15,17.3,10.25,11.35,5.95,7.5,3.55,4.9,2.25,3.45,1.4,2.65,1.1,2.05,0.95,1.6,0.9,16117.95,16118.2,16107.5,16107.65,0
65,1657687800,75.9,18.14,59.25,54.45,40.7,38.3,26.9,26.35,16.9,17.7,10.1,11.6,6.0,7.8,3.5,5.1,2.2,3.6,1.45,2.7,1.05,2.05,0.95,1.6,0.85,16107.55,16107.55,16100.7,16103.35,0
66,1657687860,77.8,18.14,58.25,56.2,40.0,39.45,26.3,27.2,16.6,18.35,9.9,12.0,5.9,8.05,3.5,5.25,2.25,3.75,1.45,2.75,1.15,2.15,0.95,1.7,0.95,16104.05,16105.3,16101.6,16101.85,0
67,1657687920,79.9,18.2,56.95,57.55,39.0,40.6,25.7,28.1,16.15,18.75,9.6,12.4,5.75,8.2,3.45,5.4,2.1,3.75,1.45,2.8,1.1,2.2,1.0,1.7,0.9,16101.9,16101.9,16093.8,16097.25,0
68,1657687980,81.5,18.2,55.35,59.0,38.05,42.35,25.05,29.25,15.8,19.7,9.4,12.95,5.65,8.6,3.35,5.5,2.15,3.85,1.45,2.85,1.15,2.2,1.05,1.7,0.9,16097.0,16099.2,16092.15,16092.35,0
69,1657688040,84.2,18.21,53.05,60.9,36.3,43.2,23.75,29.7,15.0,20.0,9.0,13.2,5.4,8.75,3.25,5.8,2.05,4.05,1.45,3.0,1.15,2.3,1.0,1.75,0.95,16092.75,16092.75,16084.95,16085.85,0
70,1657688100,80.2,18.22,55.2,57.85,37.8,40.5,24.75,27.75,15.7,18.4,9.4,12.1,5.65,8.0,3.4,5.25,2.15,3.7,1.4,2.75,1.1,2.1,1.0,1.65,0.9,16085.35,16092.9,16083.85,16092.1,0
71,1657688160,81.15,18.22,55.1,58.55,37.8,41.15,24.85,28.3,15.7,18.95,9.45,12.45,5.6,8.2,3.35,5.4,2.1,3.75,1.4,2.8,1.1,2.15,1.0,1.65,0.9,16093.15,16094.8,16090.2,16093.8,0
72,1657688220,83.4,18.22,54.15,60.35,37.2,42.7,24.4,29.55,15.35,19.8,9.3,12.95,5.6,8.55,3.35,5.55,2.1,3.85,1.45,2.85,1.1,2.15,0.95,1.65,0.9,16094.05,16094.05,16089.75,16090.3,0
73,1657688280,83.75,18.22,54.15,60.9,37.1,42.9,24.3,29.7,15.3,19.85,9.2,12.95,5.6,8.6,3.3,5.6,2.1,3.9,1.4,2.9,1.15,2.2,1.0,1.7,0.85,16090.5,16090.5,16085.65,16087.95,0
74,1657688340,82.75,18.2,54.65,59.9,37.25,42.4,24.45,29.15,15.45,19.45,9.3,12.75,5.55,8.5,3.4,5.5,2.15,3.85,1.45,2.85,1.15,2.2,0.95,1.65,0.9,16087.8,16091.1,16086.95,16090.3,0
75,1657688400,87.3,18.21,52.3,63.75,35.75,45.25,23.4,32.0,14.7,21.2,8.9,14.15,5.4,9.45,3.25,6.3,2.1,4.4,1.5,3.2,1.15,2.45,1.0,1.8,0.9,16090.05,16090.45,16078.15,16080.95,0
76,1657688460,86.1,18.22,53.45,62.85,36.65,44.65,24.1,31.0,15.1,20.8,9.1,13.75,5.55,9.25,3.3,6.05,2.15,4.25,1.45,3.1,1.1,2.35,0.95,1.8,0.9,16080.75,16086.4,16080.15,16084.85,0
77,1657688520,90.15,18.24,51.5,66.15,35.1,47.35,23.05,33.15,14.45,22.5,8.65,15.0,5.25,10.05,3.2,6.6,2.15,4.55,1.45,3.3,1.1,2.45,1.0,1.8,0.85,16084.15,16084.3,16076.95,16077.35,0
78,1657688580,89.95,18.25,52.0,66.05,35.45,47.65,23.35,33.25,14.6,22.75,8.85,15.15,5.35,10.2,3.35,6.75,2.2,4.7,1.5,3.45,1.15,2.55,1.0,1.9,0.85,16077.6,16079.25,16076.25,16078.1,0
79,1657688640,86.9,18.23,52.8,63.8,36.1,45.25,23.8,31.45,14.95,21.45,8.95,14.15,5.45,9.45,3.3,6.25,2.25,4.35,1.55,3.15,1.15,2.4,1.0,1.8,0.9,16077.95,16082.8,16077.9,16081.6,0
80,1657688700,92.4,18.29,50.0,68.15,34.0,49.0,22.35,34.5,14.1,23.55,8.5,15.75,5.2,10.7,3.25,7.1,2.2,4.95,1.55,3.55,1.15,2.6,1.05,2.0,0.95,16081.55,16082.25,16071.7,16072.45,0
81,1657688760,93.9,18.32,49.65,69.4,33.85,49.9,22.15,35.2,14.0,24.1,8.5,16.2,5.05,10.95,3.25,7.35,2.15,5.1,1.5,3.6,1.15,2.65,1.05,1.95,0.9,16072.55,16072.55,16066.4,16068.0,0
