,epoch,PE_16100,vix_close,CE_16150,PE_16050,CE_16200,PE_16000,CE_16250,PE_15950,CE_16300,PE_15900,CE_16350,PE_15850,CE_16400,PE_15800,CE_16450,PE_15750,CE_16500,PE_15700,CE_16550,PE_15650,CE_16600,PE_15600,CE_16650,PE_15550,CE_16700,nifty_open,nifty_high,nifty_low,nifty_close,nifty_volume
84,1657516140,106.0,18.97,108.0,85.7,85.35,68.5,65.3,53.9,49.05,42.05,36.0,33.0,26.1,25.3,18.5,19.4,13.0,14.7,8.85,10.9,6.15,8.35,4.35,6.35,3.25,16151.45,16152.15,16146.55,16146.85,0
85,1657516200,105.9,18.96,107.45,85.5,84.7,68.1,64.95,53.7,48.85,41.8,35.85,32.7,25.9,25.1,18.3,19.2,12.85,14.55,8.8,10.9,6.15,8.3,4.3,6.35,3.2,16146.2,16146.2,16143.7,16145.4,0
86,1657516260,104.3,18.97,109.45,84.4,86.25,67.4,66.35,52.8,49.9,41.45,36.55,32.35,26.6,24.9,18.65,19.0,13.1,14.4,9.0,10.8,6.2,8.25,4.35,6.3,3.3,16145.7,16149.4,16145.3,16149.15,0
87,1657516320,106.75,18.96,106.7,86.4,84.0,69.05,64.5,54.2,48.3,42.35,35.4,33.1,25.6,25.45,17.95,19.5,12.55,14.65,8.6,11.05,5.95,8.4,4.2,6.35,3.2,16149.0,16150.5,16143.5,16144.0,0
88,1657516380,104.5,18.96,109.2,84.65,86.0,67.4,66.25,53.1,49.7,41.5,36.35,32.4,26.2,24.95,18.45,19.05,12.9,14.5,8.75,11.0,6.05,8.4,4.3,6.4,3.25,16144.1,16149.85,16143.8,16149.85,0
89,1657516440,103.0,18.96,111.15,83.2,87.45,66.35,67.25,52.3,50.5,40.7,37.0,32.0,26.7,24.5,18.75,18.85,13.15,14.25,8.95,10.75,6.15,8.35,4.35,6.35,3.3,16150.0,16152.0,16148.55,16152.0,0
90,1657516500,102.85,18.95,111.0,82.95,87.85,66.3,67.45,52.05,50.55,40.75,37.05,31.65,26.8,24.45,18.85,18.75,13.15,14.1,8.85,10.75,6.1,8.25,4.3,6.3,3.25,16152.25,16155.95,16150.45,16153.4,0
91,1657516560,103.35,18.95,111.0,83.55,87.8,66.55,67.3,52.4,50.5,40.85,37.0,32.0,26.7,24.6,18.7,18.85,12.95,14.25,8.8,10.75,6.0,8.25,4.25,6.35,3.25,16153.8,16154.15,16148.35,16151.8,0
92,1657516620,104.45,18.97,109.85,84.4,86.85,67.4,66.75,52.85,50.1,41.25,36.65,32.1,26.6,24.7,18.65,18.8,13.0,14.2,8.75,10.75,6.1,8.2,4.3,6.3,3.25,16151.75,16154.5,16150.85,16151.8,0
93,1657516680,105.0,18.96,109.5,84.95,86.35,67.95,66.35,53.5,49.95,41.85,36.55,32.75,26.45,25.15,18.6,19.25,12.95,14.7,8.85,11.1,6.05,8.55,4.3,6.5,3.25,16151.95,16151.95,16148.8,16150.3,0
